fecha,dim,clave,in,out,net,aum
2026-06-30,gestora,Balanz S.G.F.C.I.S.A.U.,72008382589.76,-34011482960.80,37996899628.96,3354719130062.19
2026-06-30,gestora,Bull Market Asset Management S.A.,19568100329.00,-21143906.95,19546956422.05,695624304980.97
2026-06-30,gestora,Bancor Fondos S.G.F.C.I.S.A.U.,1096382682.85,-11890461750.85,-10794079068.00,700977734741.60
2026-06-30,gestora,Chimpay S.A.,129013304.45,-1814861.04,127198443.42,46489768815.22
2026-06-30,gestora,IEB S.A.,31987690908.70,-2368044193.03,29619646715.68,620778403898.37
2026-06-30,gestora,Capital Markets Argentina Asset Management S.A.,31895688.79,-104384344.79,-72488656.00,29604070930.13
2026-06-30,gestora,Cocos Asset Management S.A.,24860335280.51,-16307958033.19,8552377247.32,896792008129.88
2026-06-30,gestora,Investis Asset Management S.A.S.G.F.C.I.,28750443527.23,-20549736127.72,8200707399.51,1795221243445.97
2026-06-30,gestora,One618 Asset Management S.G.F.C.I.S.A.,43928885808.32,-12465543345.68,31463342462.64,1798738730622.48
2026-06-30,gestora,Ciudad Administradora de Activos S.A.U.,6155304387.61,0.00,6155304387.61,475880173017.32
2026-06-30,gestora,Delta Asset Management S.A.,57999625746.36,-8870649159.66,49128976586.70,1999300125819.37
2026-06-30,gestora,Dracma Asset Management S.A.,92952521.66,-14038706.83,78913814.83,66713991472.57
2026-06-30,gestora,BBVA Asset Management Argentina S.A.U.S.G.F.C.I.,32356435816.09,-61760731600.80,-29404295784.71,4218468744072.93
2026-06-30,gestora,Galicia Asset Management S.A.U.,407723162061.95,-113566946284.25,294156215777.70,11764700816031.07
2026-06-30,gestora,Galileo Argentina S.G.F.C.I.S.A.,2282781880.51,-3871357436.17,-1588575555.65,505654889952.62
2026-06-30,gestora,Industrial Asset Management S.G.F.C.I.S.A.,16154053291.26,-26830404128.95,-10676350837.69,964961612987.56
2026-06-30,gestora,Tutelar Inversora S.A.,0.00,0.00,0.00,6127966691.59
2026-06-30,gestora,Patagonia Inversora S.A.S.G.F.C.I,14909844426.81,-81300094.63,14828544332.18,1991922670085.43
2026-06-30,gestora,Max Capital Asset Management S.A.,67741862795.20,-11192396533.97,56549466261.23,912111229890.99
2026-06-30,gestora,MEGA QM S.A.,11908647472.79,-8435326417.50,3473321055.29,1418976054587.56
2026-06-30,gestora,SAM Argentina S.G.F.C.I.S.A.U.,16423112.39,-114665435.06,-98242322.67,93740389669.64
2026-06-30,gestora,Parakeet S.G.F.C.I.S.A.,1736880331.03,-1159271152.49,577609178.54,147957280197.50
2026-06-30,gestora,Pellegrini S.A.S.G.F.C.I.,1224846481.69,-44339642149.44,-43114795667.75,3394463828417.79
2026-06-30,gestora,Macro Fondos S.G.F.C.I.S.A.,229124620218.03,-21911527078.70,207213093139.33,5322994974152.82
2026-06-30,gestora,Supervielle Asset Management S.A.,11246133850.39,-70980752850.34,-59734618999.95,1110151265087.47
2026-06-30,gestora,Schroder S.A.S.G.F.C.I.,7715277472.82,-9149860996.93,-1434583524.12,2126697795156.49
2026-06-30,gestora,Santander Asset Management G.F.C.I.S.A.,479223192769.80,-119077222750.45,360145970019.35,10592133100485.78
2026-06-30,gestora,Ualá Fondos S.A.U.,5502719347.81,-568764447.00,4933954900.81,192703421972.66
2026-06-30,gestora,Valiant Asset Management S.G.F.C.I.S.A.U.,2204489557.23,-295839.97,2204193717.25,77066386410.87
2026-06-30,gestora,Wise Capital Asset Management S.A.,233300733.98,-89682736.73,143617997.25,70029057502.75
2026-06-30,gestora,Puente Asset Management S.A.,0.00,0.00,0.00,0.00
2026-06-30,gestora,First Capital Markets S.A.,6072608.97,-4992207.46,1080401.50,129410622056.02
2026-06-30,gestora,Cohen S.A.,0.00,0.00,0.00,9176249.53
2026-06-30,gestora,Mercado Pago Asset Managemet S.A.,498184135214.71,0.00,498184135214.71,8271722312956.86
2026-06-30,bucket,Renta Variable USD,4766559.96,-220817.33,4545742.63,274200131.99
2026-06-30,bucket,Renta Fija ARS T+1,151127547345.29,-57746482756.21,93381064589.08,16596219817913.71
2026-06-30,bucket,Renta Fija ARS,61403394253.50,-19069718181.53,42333676071.98,3554164400790.83
2026-06-30,gestora,Nuevo Chaco Fondos S.A.S.G.F.C.I.,4651335346.16,-195379999.76,4455955346.40,105559282839.14
2026-06-30,gestora,Cono Sur S.G.F.C.I.S.A.,7880560796.05,-51378.23,7880509417.82,57838406466.62
2026-06-30,gestora,CMF Asset Management S.A.U.,3168547519.33,-15117756949.30,-11949209429.97,311147706154.03
2026-06-30,gestora,Nativa S.G.F.C.I.S.A.,0.00,0.00,0.00,14012489.60
2026-06-30,gestora,Grupo SS S.A.S.G.F.C.I.,48182533.64,-262761347.74,-214578814.10,213674712027.37
2026-06-30,gestora,Mills Asset Management S.A.,3630946899.39,0.00,3630946899.39,46296091150.64
2026-06-30,gestora,Quiron Asset Management S.A.,791080465.41,-22568909.36,768511556.05,27207830665.69
2026-06-30,gestora,Tandem Capital S.A.,8175455000.81,0.00,8175455000.81,39488272168.15
2026-06-30,gestora,Zofingen Investment S.A.,3799975718.40,-3912485661.67,-112509943.27,538307007338.91
2026-06-30,gestora,C y C Administradora de Fondos S.A.,138100396.35,-73884174.51,64216221.84,57776628392.43
2026-06-30,bucket,Renta Fija USD,24732209.63,-21358716.93,3373492.70,7175450771.62
2026-06-30,gestora,Axis S.G.F.C.I.S.A.,3376805657.60,-9725703790.63,-6348898133.03,407769212670.57
2026-06-30,bucket,Renta Mixta,38636857696.46,-17882393736.71,20754463959.75,4330105815922.27
2026-06-30,gestora,Blacktoro Asset Management S.A.,149704934.31,0.00,149704934.31,2256378316.62
2026-06-30,gestora,GMC Asset Management S.A.U.,2724717198.77,-46033521.38,2678683677.39,88643807518.88
2026-06-30,bucket,Renta Mixta USD,3612228.63,-1085644.60,2526584.03,927065335.52
2026-06-30,bucket,PyMEs,14463047850.38,-183875793.95,14279172056.43,2010427260255.41
2026-06-30,bucket,PyMEs USD,0.00,0.00,0.00,0.00
2026-06-30,bucket,Infraestructura,2200494197.74,-44182385.94,2156311811.80,959029691469.62
2026-06-30,bucket,Infraestructura USD,0.00,0.00,0.00,63344756.04
2026-06-30,bucket,Retorno Total,24361471125.88,-8984537119.93,15376934005.95,1471566450952.19
2026-06-30,bucket,Retorno Total USD,502183.65,-131098.53,371085.12,448455376.24
2026-06-30,bucket,ASG,71899094.63,-124383.23,71774711.39,22352368417.40
2026-06-30,bucket,RG900,5412067400.85,-134037232.06,5278030168.80,296262693118.06
2026-06-30,bucket,Money Market ARS (T+0),2134097022630.12,-878775623710.79,1255321398919.33,50254669491737.56
2026-06-30,gestora,Tango Asset Management S.A.,5277117957.16,-140404486.31,5136713470.85,18141643525.88
